D2 in kg/s^2;m in g;T in s
21,99(+-0,24);80;0,379(+-0,002)
22,49(+-0,10);100;0,419(+-0,001)
22,29(+-0,10);120;0,461(+-0,001)
22,56(+-0,10);140;0,495(+-0,001)
22,74(+-0,08);160;0,527(+-0,001)
